49	6	50	8	50	0.52642	1	5	1	2
50	14	50	10	22	0.66612	2	4	2	2
51	40	50	32	0	0.52141	4	1	2	2
52	14	2	10	50	0.42517	2	2	2	1
53	10	50	14	7	0.58938	2	3	1	2
54	14	50	10	50	0.51265	2	5	2	1
55	40	22	32	50	0.77407	4	4	2	1
56	14	50	10	22	0.53715	2	4	2	2
57	20	22	26	50	0.57449	3	4	1	1
58	10	7	14	50	0.58694	2	3	1	1
59	32	50	40	0	0.57698	4	1	1	2
60	6	22	8	50	0.29549	1	4	1	1
61	32	0	40	50	0.477	4	1	1	1
62	10	0	14	50	0.69072	2	1	1	1
63	8	50	6	22	0.4885	1	4	2	2
64	14	50	10	22	0.5471	2	4	2	2
65	32	2	40	50	0.5025	4	2	1	1
66	32	50	40	2	0.48581	4	2	1	2
67	10	50	14	2	0.39846	2	2	1	2
68	40	50	32	0	0.60778	4	1	2	2
69	6	50	8	22	0.44534	1	4	1	2
70	32	22	40	50	0.4286	4	4	1	1
71	20	50	26	50	0.34472	3	5	1	2
72	26	50	20	22	0.51831	3	4	2	2
73	40	50	32	50	0.47711	4	5	2	2
74	10	22	14	50	0.50589	2	4	1	1
75	40	50	32	50	0.36001	4	5	2	1
76	6	2	8	50	0.53563	1	2	1	1
77	8	22	6	50	0.36031	1	4	2	1
78	10	50	14	7	0.53595	2	3	1	2
79	20	7	26	50	0.50789	3	3	1	1
80	10	2	14	50	0.50129	2	2	1	1
81	32	0	40	50	0.51681	4	1	1	1
82	40	50	32	7	0.54121	4	3	2	2
83	8	50	6	50	0.41263	1	5	2	2
84	10	50	14	22	0.48834	2	4	1	2
85	14	50	10	2	0.5467	2	2	2	2
86	40	50	32	2	0.42375	4	2	2	2
87	14	50	10	50	0.86668	2	5	2	2
88	20	50	26	22	0.37649	3	4	1	2
89	6	7	8	50	0.53378	1	3	1	1
90	20	50	26	50	0.38982	3	5	1	2
91	14	22	10	50	0.59025	2	4	2	1
92	8	50	6	50	0.62262	1	5	2	2
93	32	50	40	2	0.33489	4	2	1	2
94	32	50	40	0	0.44628	4	1	1	2
95	20	50	26	50	0.46194	3	5	1	1
96	6	0	8	50	0.52089	1	1	1	1
