193	26	50	20	7	0.48908	3	3	2	2
194	14	2	10	50	0.56384	2	2	2	1
195	14	50	10	50	0.50029	2	5	2	1
196	8	7	6	50	0.51902	1	3	2	1
197	20	0	26	50	0.38742	3	1	1	1
198	32	7	40	50	0.60361	4	3	1	1
199	20	50	26	22	0.39123	3	4	1	2
200	8	2	6	50	0.52238	1	2	2	1
201	6	50	8	0	0.40315	1	1	1	2
202	26	7	20	50	0.60754	3	3	2	1
203	40	22	32	50	0.4589	4	4	2	1
204	6	50	8	2	0.56901	1	2	1	2
205	40	50	32	50	0.43151	4	5	2	2
206	26	50	20	50	0.54632	3	5	2	2
207	26	50	20	50	0.48419	3	5	2	1
208	6	50	8	50	0.39858	1	5	1	2
209	8	22	6	50	0.44251	1	4	2	1
210	14	50	10	7	0.56314	2	3	2	2
211	6	50	8	50	0.63071	1	5	1	1
212	26	50	20	0	0.53289	3	1	2	2
213	26	50	20	22	0.62977	3	4	2	2
214	8	50	6	7	0.51819	1	3	2	2
215	8	50	6	50	0.57708	1	5	2	2
216	40	50	32	22	0.69868	4	4	2	2
217	10	50	14	50	0.70232	2	5	1	2
218	20	50	26	0	0.46547	3	1	1	2
219	10	50	14	22	0.48065	2	4	1	2
220	26	50	20	7	0.61846	3	3	2	2
221	20	2	26	50	0.50423	3	2	1	1
222	20	50	26	50	0.53539	3	5	1	1
223	10	2	14	50	0.44503	2	2	1	1
224	8	50	6	50	0.43808	1	5	2	1
225	20	50	26	2	0.40102	3	2	1	2
226	14	50	10	50	0.28388	2	5	2	2
227	6	50	8	2	0.52994	1	2	1	2
228	26	2	20	50	0.52657	3	2	2	1
229	26	2	20	50	0.58621	3	2	2	1
230	8	50	6	22	0.38218	1	4	2	2
231	14	7	10	50	0.35777	2	3	2	1
232	8	0	6	50	0.44379	1	1	2	1
233	26	50	20	50	0.48566	3	5	2	2
234	10	50	14	7	0.62192	2	3	1	2
235	14	50	10	7	0.35734	2	3	2	2
236	26	0	20	50	0.57908	3	1	2	1
237	6	7	8	50	0.40859	1	3	1	1
238	32	50	40	0	0.29454	4	1	1	2
239	6	50	8	50	0.43135	1	5	1	1
240	32	50	40	50	0.39589	4	5	1	2
