1	10	50	14	50	0.50517	2	5	1	1
2	6	50	8	50	0.59615	1	5	1	1
3	8	50	6	7	0.48842	1	3	2	2
4	14	50	10	50	0.30926	2	5	2	2
5	6	22	8	50	0.41141	1	4	1	1
6	6	50	8	2	0.61138	1	2	1	2
7	6	50	8	0	0.45174	1	1	1	2
8	10	50	14	22	0.62698	2	4	1	2
9	26	50	20	0	0.58357	3	1	2	2
10	40	50	32	22	0.65757	4	4	2	2
11	40	50	32	7	0.41898	4	3	2	2
12	10	50	14	2	0.40624	2	2	1	2
13	10	50	14	50	0.5822	2	5	1	2
14	8	50	6	50	0.53322	1	5	2	1
15	32	50	40	7	0.46891	4	3	1	2
16	14	7	10	50	0.41326	2	3	2	1
17	20	50	26	50	0.40483	3	5	1	1
18	10	50	14	50	0.44707	2	5	1	2
19	26	50	20	0	0.49277	3	1	2	2
20	6	50	8	2	0.54402	1	2	1	2
