
----------------------------------------------------------------------------
Started at: 05-Feb-2010 00:50:23

START	14856.8042		0
KEY	Return	1.4959	1.5344
KEY	Return	0.80146	3.3344	1	34	0	20	30	3	1	2	1
KEY	m	1.1698	5.8624	1	34	0	20	30	3	1	2	1
KEY	l	0.36052	8.1504	2	6	30	4	30	1	5	2	1
KEY	m	0.43723	10.4704	3	20	4	34	30	3	2	1	1
KEY	l	0.48411	12.7104	4	4	30	6	15	1	4	1	2
KEY	m	0.65238	15.0384	5	10	30	16	0	2	1	1	2
KEY	l	0.49309	17.3904	6	16	15	10	30	2	4	2	1
KEY	l	0.69692	19.8544	7	16	4	10	30	2	2	2	1
KEY	m	0.52524	22.2944	8	20	30	34	0	3	1	1	2
KEY	l	0.5634	24.5424	9	6	30	4	0	1	1	2	2
KEY	m	0.54159	26.9984	10	40	30	60	15	4	4	1	2
KEY	m	0.59421	29.2944	11	10	30	16	4	2	2	1	2
KEY	m	0.28227	31.5104	12	4	30	6	4	1	2	1	2
KEY	l	0.40175	33.8064	13	16	30	10	15	2	4	2	2
KEY	l	0.46888	36.1504	14	6	30	4	15	1	4	2	2
KEY	m	0.53681	38.4784	15	4	15	6	30	1	4	1	1
KEY	l	0.47647	40.8624	16	6	30	4	10	1	3	2	2
KEY	l	0.58864	43.3184	17	34	10	20	30	3	3	2	1
KEY	m	0.37136	45.4784	18	40	10	60	30	4	3	1	1
KEY	m	0.62404	47.9744	19	60	30	40	0	4	1	2	2
KEY	m	0.42339	50.1344	20	10	30	16	15	2	4	1	2
KEY	l	0.46453	52.3184	21	6	30	4	0	1	1	2	2
KEY	m	0.42017	54.7184	22	40	15	60	30	4	4	1	1
KEY	l	0.38835	57.0304	23	6	10	4	30	1	3	2	1
KEY	m	0.36761	59.1024	24	60	15	40	30	4	4	2	1
KEY	m	0.40581	61.3504	25	20	30	34	10	3	3	1	2
KEY	m	0.6299	63.9184	26	60	4	40	30	4	2	2	1
KEY	l	0.40456	66.0704	27	16	10	10	30	2	3	2	1
KEY	l	0.58875	68.5984	28	34	15	20	30	3	4	2	1
KEY	m	0.39627	70.7664	29	60	15	40	30	4	4	2	1
KEY	m	0.45156	73.1824	30	4	10	6	30	1	3	1	1
KEY	m	0.68447	75.9264	31	4	30	6	30	1	5	1	2
KEY	m	0.39782	78.1344	32	4	30	6	30	1	5	1	1
KEY	m	0.3515	80.3984	33	4	10	6	30	1	3	1	1
KEY	m	0.65356	82.9104	34	4	0	6	30	1	1	1	1
KEY	l	0.29592	85.1978	35	6	30	4	30	1	5	2	2
KEY	m	0.45105	87.4624	36	10	15	16	30	2	4	1	1
KEY	l	0.49846	89.8704	37	4	30	6	4	1	2	1	2
KEY	m	0.55019	92.3664	38	20	30	34	15	3	4	1	2
KEY	m	0.5111	94.6544	39	20	30	34	0	3	1	1	2
KEY	m	0.49295	97.0304	40	40	30	60	30	4	5	1	2
KEY	l	0.38258	99.2304	41	6	4	4	30	1	2	2	1
KEY	ESCAPE	0.37847	101.4864	42	40	30	60	10	4	3	1	2
TIMEOUT			101.4957	42	40	30	60	10	4	3	1	2
